id,pred,truth
416,10590.2041015625,10599.53
417,10579.052734375,10591.290000000003
418,10585.25390625,10591.83
419,10599.8017578125,10606.33
420,10582.357421875,10589.09
421,10589.3115234375,10594.2
422,10566.8779296875,10574.8
423,10580.55078125,10589.58
424,10575.982421875,10585.27
425,10589.71875,10600.87
426,10575.8154296875,10585.55
427,10567.2958984375,10577.63
428,10590.99609375,10597.24
429,10583.658203125,10595.78
430,10591.84765625,10605.9
431,10605.83984375,10614.61
432,10605.099609375,10615.09
433,10611.2705078125,10624.829999999998
434,10610.138671875,10616.29
435,10609.431640625,10617.829999999998
436,10592.9443359375,10602.73
437,10606.6796875,10618.41
438,10592.16015625,10601.31
439,10587.591796875,10590.0
440,10586.271484375,10593.23
441,10588.7138671875,10600.52
442,10581.7294921875,10591.04
443,10600.162109375,10606.34
444,10610.2998046875,10621.09
445,10619.0029296875,10628.19
446,10614.2333984375,10622.32
447,10608.7490234375,10619.029999999999
448,10614.876953125,10624.14
449,10623.560546875,10633.96
450,10631.5341796875,10642.94
451,10623.7080078125,10629.92
452,10594.9150390625,10605.13
453,10618.927734375,10630.28
454,10622.328125,10631.01
455,10628.7119140625,10640.0
456,10654.3935546875,10658.3
457,10648.2041015625,10659.0
458,10655.7646484375,10666.25
459,10649.0595703125,10654.95
460,10640.50390625,10650.16
461,10650.76171875,10660.67
462,10652.3994140625,10662.100000000002
463,10651.05078125,10662.100000000002
464,10631.26171875,10641.63
465,10650.7197265625,10655.63
466,10648.294921875,10657.219999999998
467,10659.904296875,10669.14
468,10648.484375,10653.8
469,10632.5693359375,10643.18
470,10620.4921875,10626.42
471,10635.658203125,10644.73
472,10626.78125,10631.08
473,10629.5009765625,10643.13
474,10638.646484375,10648.0
475,10636.4892578125,10644.54
476,10629.970703125,10642.45
477,10624.3134765625,10632.769999999999
478,10607.3642578125,10619.059999999998
479,10601.150390625,10614.97
480,10610.4267578125,10618.59
481,10618.8349609375,10625.92
482,10585.8359375,10596.85
483,10579.6064453125,10590.89
484,10575.982421875,10583.0
485,10553.443359375,10560.22
486,10551.8818359375,10560.82
487,10559.318359375,10565.02
488,10604.796875,10616.260000000002
489,10600.666015625,10612.0
490,10591.169921875,10604.59
491,10592.5712890625,10605.86
492,10624.9150390625,10638.72
493,10627.7197265625,10634.37
494,10719.5234375,10734.0
495,10726.044921875,10734.77
496,10723.6552734375,10737.11
497,10903.1953125,10914.62
498,10880.40625,10883.25
499,10886.107421875,10896.09
500,10889.8974609375,10896.7
501,10925.1884765625,10927.42
502,10890.6611328125,10898.11
503,10875.6962890625,10883.49
504,10863.111328125,10867.7
505,10869.01171875,10878.999999999998
506,10880.2490234375,10886.3
507,10881.0927734375,10892.16
508,10869.0341796875,10876.359999999999
509,10885.3759765625,10893.520000000002
510,10872.416015625,10883.04
511,10874.9091796875,10881.88
512,10893.84765625,10899.0
513,10891.125,10902.0
514,10881.6513671875,10890.01
515,10914.626953125,10925.2
516,10876.48046875,10881.299999999997
517,10872.5380859375,10881.06
518,10885.9814453125,10896.05
519,10892.3037109375,10902.88
520,10900.3017578125,10910.14
521,10889.53125,10899.98
522,10882.2607421875,10890.6
523,10881.5,10889.21
524,10865.396484375,10876.72
525,10867.0400390625,10878.2
526,10876.7802734375,10885.8
527,10857.7197265625,10865.9
528,10844.462890625,10856.849999999999
529,10840.244140625,10849.690000000002
530,10875.5595703125,10888.41
531,10885.7275390625,10894.83
532,10880.009765625,10892.0
533,10891.11328125,10899.39
534,10870.6123046875,10881.94
535,10874.4990234375,10884.6
536,10889.279296875,10902.0
537,10984.8505859375,10994.13
538,11056.509765625,11066.19
539,11042.9609375,11058.35
540,11050.30859375,11061.79
541,11070.0439453125,11074.16
542,11056.7392578125,11064.55
543,11076.962890625,11089.06
544,11052.8447265625,11059.4
545,11056.1318359375,11066.47
546,11061.77734375,11070.63
547,11082.1845703125,11094.39
548,11051.23046875,11060.52
549,11046.4208984375,11055.55
550,11046.64453125,11055.279999999999
551,11053.482421875,11066.71
552,11042.828125,11050.02
553,11044.6865234375,11055.0
554,11041.9619140625,11052.069999999998
555,11036.9423828125,11046.1
556,11036.091796875,11048.37
557,11026.9619140625,11036.98
558,11013.41015625,11023.82
559,11049.755859375,11061.01
560,11039.5166015625,11047.15
561,11063.9248046875,11076.94
562,11074.314453125,11083.99
563,11044.8173828125,11052.0
564,11086.06640625,11092.43
565,11078.0390625,11084.950000000003
566,11073.3974609375,11083.4
567,11082.2490234375,11093.85
568,11379.3212890625,11395.199999999999
569,11381.1669921875,11391.490000000002
570,11385.271484375,11392.71
571,11403.0556640625,11414.97
572,11395.7802734375,11393.88
573,11401.3720703125,11409.39
574,11399.4462890625,11409.4
575,11371.0791015625,11382.04
576,11375.837890625,11387.02
577,11353.7958984375,11362.74
578,11376.9267578125,11387.79
579,11369.7490234375,11383.65
580,11375.7353515625,11387.9
581,11366.6162109375,11375.05
582,11353.6025390625,11363.19
583,11309.84765625,11318.63
584,11286.0244140625,11298.55
585,11310.1396484375,11318.52
586,11301.4921875,11312.68
587,11309.7451171875,11319.89
588,11301.765625,11309.030000000002
589,11332.8212890625,11346.11
590,11318.5908203125,11324.79
591,11338.7197265625,11350.0
592,11324.4189453125,11333.54
